timestamp,station_name,input_count,output_count,current_in_line_passengers,line_number,crowed_time_rate,is_crowed_station,is_weekend,is_holiday
2024-01-01 06:00:00,Tajrish,31,0,31,Line1,0.8,True,1,1
2024-01-01 06:06:00,Shariati,23,11,43,Line1,0.8,False,1,1
2024-01-01 06:12:00,Beheshti,8,9,42,Line1,0.8,False,1,1
2024-01-01 06:18:00,Dowlat,7,15,34,Line1,0.8,True,1,1
2024-01-01 06:24:00,Mohamadieh,13,15,32,Line1,0.8,True,1,1
2024-01-01 06:30:00,Kahrizak,0,32,0,Line1,0.8,False,1,1
2024-01-01 06:00:00,Sanat,35,0,35,Line2,0.8,False,1,1
2024-01-01 06:06:00,Valiasr,12,12,35,Line2,0.8,True,1,1
2024-01-01 06:12:00,Theather,19,13,41,Line2,0.8,True,1,1
2024-01-01 06:18:00,Mohamadieh,10,20,31,Line2,0.8,True,1,1
2024-01-01 06:24:00,Heravi,15,11,35,Line2,0.8,False,1,1
2024-01-01 06:30:00,Basij,0,35,0,Line2,0.8,False,1,1
2024-01-01 06:00:00,Sattari,44,0,44,Line3,0.8,False,1,1
2024-01-01 06:06:00,Valiasr,6,21,29,Line3,0.8,True,1,1
2024-01-01 06:12:00,Jahad,13,2,40,Line3,0.8,False,1,1
2024-01-01 06:18:00,Beheshti,8,15,33,Line3,0.8,False,1,1
2024-01-01 06:24:00,Heravi,8,7,34,Line3,0.8,False,1,1
2024-01-01 06:30:00,Ghaem,0,34,0,Line3,0.8,False,1,1
2024-01-01 06:00:00,Azadi,32,0,32,Line4,0.8,False,1,1
2024-01-01 06:06:00,Theather,19,23,28,Line4,0.8,True,1,1
2024-01-01 06:12:00,ferdowsi,16,7,37,Line4,0.8,False,1,1
2024-01-01 06:18:00,Dowlat,16,12,41,Line4,0.8,True,1,1
2024-01-01 06:24:00,Shemiran,11,10,42,Line4,0.8,False,1,1
2024-01-01 06:30:00,Booali,0,42,0,Line4,0.8,False,1,1
2024-01-01 06:30:00,Tajrish,36,0,36,Line1,0.8,True,1,1
2024-01-01 06:36:00,Shariati,8,7,37,Line1,0.8,False,1,1
2024-01-01 06:42:00,Beheshti,11,20,28,Line1,0.8,False,1,1
2024-01-01 06:48:00,Dowlat,14,14,28,Line1,0.8,True,1,1
2024-01-01 06:54:00,Mohamadieh,19,18,29,Line1,0.8,True,1,1
2024-01-01 07:00:00,Kahrizak,0,29,0,Line1,0.8,False,1,1
2024-01-01 06:30:00,Sanat,31,0,31,Line2,0.8,False,1,1
2024-01-01 06:36:00,Valiasr,11,17,25,Line2,0.8,True,1,1
2024-01-01 06:42:00,Theather,9,19,15,Line2,0.8,True,1,1
2024-01-01 06:48:00,Mohamadieh,11,15,11,Line2,0.8,True,1,1
2024-01-01 06:54:00,Heravi,21,7,25,Line2,0.8,False,1,1
2024-01-01 07:00:00,Basij,0,25,0,Line2,0.8,False,1,1
2024-01-01 06:30:00,Sattari,32,0,32,Line3,0.8,False,1,1
2024-01-01 06:36:00,Valiasr,11,15,28,Line3,0.8,True,1,1
2024-01-01 06:42:00,Jahad,15,8,35,Line3,0.8,False,1,1
2024-01-01 06:48:00,Beheshti,17,21,31,Line3,0.8,False,1,1
2024-01-01 06:54:00,Heravi,21,13,39,Line3,0.8,False,1,1
2024-01-01 07:00:00,Ghaem,0,39,0,Line3,0.8,False,1,1
2024-01-01 06:30:00,Azadi,43,0,43,Line4,0.8,False,1,1
2024-01-01 06:36:00,Theather,7,19,31,Line4,0.8,True,1,1
2024-01-01 06:42:00,ferdowsi,14,9,36,Line4,0.8,False,1,1
2024-01-01 06:48:00,Dowlat,4,16,24,Line4,0.8,True,1,1
2024-01-01 06:54:00,Shemiran,15,6,33,Line4,0.8,False,1,1
2024-01-01 07:00:00,Booali,0,33,0,Line4,0.8,False,1,1
2024-01-01 07:00:00,Tajrish,29,0,29,Line1,0.8,True,1,1
2024-01-01 07:06:00,Shariati,12,8,33,Line1,0.8,False,1,1
2024-01-01 07:12:00,Beheshti,8,13,28,Line1,0.8,False,1,1
2024-01-01 07:18:00,Dowlat,14,16,26,Line1,0.8,True,1,1
2024-01-01 07:24:00,Mohamadieh,6,15,17,Line1,0.8,True,1,1
2024-01-01 07:30:00,Kahrizak,0,17,0,Line1,0.8,False,1,1
2024-01-01 07:00:00,Sanat,28,0,28,Line2,0.8,False,1,1
2024-01-01 07:06:00,Valiasr,7,20,15,Line2,0.8,True,1,1
2024-01-01 07:12:00,Theather,10,15,10,Line2,0.8,True,1,1
2024-01-01 07:18:00,Mohamadieh,9,10,9,Line2,0.8,True,1,1
2024-01-01 07:24:00,Heravi,8,9,8,Line2,0.8,False,1,1
2024-01-01 07:30:00,Basij,0,8,0,Line2,0.8,False,1,1
2024-01-01 07:00:00,Sattari,26,0,26,Line3,0.8,False,1,1
2024-01-01 07:06:00,Valiasr,4,13,17,Line3,0.8,True,1,1
2024-01-01 07:12:00,Jahad,13,9,21,Line3,0.8,False,1,1
2024-01-01 07:18:00,Beheshti,9,21,9,Line3,0.8,False,1,1
2024-01-01 07:24:00,Heravi,11,9,11,Line3,0.8,False,1,1
2024-01-01 07:30:00,Ghaem,0,11,0,Line3,0.8,False,1,1
2024-01-01 07:00:00,Azadi,41,0,41,Line4,0.8,False,1,1
2024-01-01 07:06:00,Theather,10,24,27,Line4,0.8,True,1,1
2024-01-01 07:12:00,ferdowsi,9,7,29,Line4,0.8,False,1,1
2024-01-01 07:18:00,Dowlat,10,26,13,Line4,0.8,True,1,1
2024-01-01 07:24:00,Shemiran,15,13,15,Line4,0.8,False,1,1
2024-01-01 07:30:00,Booali,0,15,0,Line4,0.8,False,1,1
2024-01-01 07:30:00,Tajrish,32,0,32,Line1,0.8,True,1,1
2024-01-01 07:36:00,Shariati,21,4,49,Line1,0.8,False,1,1
2024-01-01 07:42:00,Beheshti,4,13,40,Line1,0.8,False,1,1
2024-01-01 07:48:00,Dowlat,16,26,30,Line1,0.8,True,1,1
2024-01-01 07:54:00,Mohamadieh,7,23,14,Line1,0.8,True,1,1
2024-01-01 08:00:00,Kahrizak,0,14,0,Line1,1.2,False,1,1
2024-01-01 07:30:00,Sanat,28,0,28,Line2,0.8,False,1,1
2024-01-01 07:36:00,Valiasr,12,17,23,Line2,0.8,True,1,1
2024-01-01 07:42:00,Theather,18,7,34,Line2,0.8,True,1,1
2024-01-01 07:48:00,Mohamadieh,6,14,26,Line2,0.8,True,1,1
2024-01-01 07:54:00,Heravi,11,8,29,Line2,0.8,False,1,1
2024-01-01 08:00:00,Basij,0,29,0,Line2,1.2,False,1,1
2024-01-01 07:30:00,Sattari,38,0,38,Line3,0.8,False,1,1
2024-01-01 07:36:00,Valiasr,9,14,33,Line3,0.8,True,1,1
2024-01-01 07:42:00,Jahad,10,8,35,Line3,0.8,False,1,1
2024-01-01 07:48:00,Beheshti,7,17,25,Line3,0.8,False,1,1
2024-01-01 07:54:00,Heravi,14,12,27,Line3,0.8,False,1,1
2024-01-01 08:00:00,Ghaem,0,27,0,Line3,1.2,False,1,1
2024-01-01 07:30:00,Azadi,36,0,36,Line4,0.8,False,1,1
2024-01-01 07:36:00,Theather,13,16,33,Line4,0.8,True,1,1
2024-01-01 07:42:00,ferdowsi,8,12,29,Line4,0.8,False,1,1
2024-01-01 07:48:00,Dowlat,14,24,19,Line4,0.8,True,1,1
2024-01-01 07:54:00,Shemiran,14,16,17,Line4,0.8,False,1,1
2024-01-01 08:00:00,Booali,0,17,0,Line4,1.2,False,1,1
2024-01-01 08:00:00,Tajrish,35,0,35,Line1,1.2,True,1,1
2024-01-01 08:06:00,Shariati,12,11,36,Line1,1.2,False,1,1
2024-01-01 08:12:00,Beheshti,17,15,38,Line1,1.2,False,1,1
2024-01-01 08:18:00,Dowlat,7,12,33,Line1,1.2,True,1,1
2024-01-01 08:24:00,Mohamadieh,12,16,29,Line1,1.2,True,1,1
2024-01-01 08:30:00,Kahrizak,0,29,0,Line1,1.2,False,1,1
2024-01-01 08:00:00,Sanat,41,0,41,Line2,1.2,False,1,1
2024-01-01 08:06:00,Valiasr,11,14,38,Line2,1.2,True,1,1
2024-01-01 08:12:00,Theather,13,18,33,Line2,1.2,True,1,1
2024-01-01 08:18:00,Mohamadieh,11,16,28,Line2,1.2,True,1,1
