train_number,line_number,current_timestamp,current_station,current_passenger,next_station,next_station_time_arrived
1_1,1,2024-01-01 06:00:00,1,0,2,2024-01-01 06:06:00
1_1,1,2024-01-01 06:06:00,2,0,3,2024-01-01 06:12:00
1_1,1,2024-01-01 06:12:00,3,0,4,2024-01-01 06:18:00
1_1,1,2024-01-01 06:18:00,4,0,5,2024-01-01 06:24:00
1_1,1,2024-01-01 06:24:00,5,0,6,2024-01-01 06:30:00
1_1,1,2024-01-01 06:30:00,6,0,0,0
2_1,2,2024-01-01 06:00:00,1,0,2,2024-01-01 06:06:00
2_1,2,2024-01-01 06:06:00,2,0,3,2024-01-01 06:12:00
2_1,2,2024-01-01 06:12:00,3,0,4,2024-01-01 06:18:00
2_1,2,2024-01-01 06:18:00,4,0,5,2024-01-01 06:24:00
2_1,2,2024-01-01 06:24:00,5,0,6,2024-01-01 06:30:00
2_1,2,2024-01-01 06:30:00,6,0,0,0
3_1,3,2024-01-01 06:00:00,1,0,2,2024-01-01 06:06:00
3_1,3,2024-01-01 06:06:00,2,0,3,2024-01-01 06:12:00
3_1,3,2024-01-01 06:12:00,3,0,4,2024-01-01 06:18:00
3_1,3,2024-01-01 06:18:00,4,0,5,2024-01-01 06:24:00
3_1,3,2024-01-01 06:24:00,5,0,6,2024-01-01 06:30:00
3_1,3,2024-01-01 06:30:00,6,0,0,0
4_1,4,2024-01-01 06:00:00,1,0,2,2024-01-01 06:06:00
4_1,4,2024-01-01 06:06:00,2,0,3,2024-01-01 06:12:00
4_1,4,2024-01-01 06:12:00,3,0,4,2024-01-01 06:18:00
4_1,4,2024-01-01 06:18:00,4,0,5,2024-01-01 06:24:00
4_1,4,2024-01-01 06:24:00,5,0,6,2024-01-01 06:30:00
4_1,4,2024-01-01 06:30:00,6,0,0,0
1_2,1,2024-01-01 06:06:00,1,0,2,2024-01-01 06:12:00
1_2,1,2024-01-01 06:12:00,2,0,3,2024-01-01 06:18:00
1_2,1,2024-01-01 06:18:00,3,0,4,2024-01-01 06:24:00
1_2,1,2024-01-01 06:24:00,4,0,5,2024-01-01 06:30:00
1_2,1,2024-01-01 06:30:00,5,0,6,2024-01-01 06:36:00
1_2,1,2024-01-01 06:36:00,6,0,0,0
2_2,2,2024-01-01 06:06:00,1,0,2,2024-01-01 06:12:00
2_2,2,2024-01-01 06:12:00,2,0,3,2024-01-01 06:18:00
2_2,2,2024-01-01 06:18:00,3,0,4,2024-01-01 06:24:00
2_2,2,2024-01-01 06:24:00,4,0,5,2024-01-01 06:30:00
2_2,2,2024-01-01 06:30:00,5,0,6,2024-01-01 06:36:00
2_2,2,2024-01-01 06:36:00,6,0,0,0
3_2,3,2024-01-01 06:06:00,1,0,2,2024-01-01 06:12:00
3_2,3,2024-01-01 06:12:00,2,0,3,2024-01-01 06:18:00
3_2,3,2024-01-01 06:18:00,3,0,4,2024-01-01 06:24:00
3_2,3,2024-01-01 06:24:00,4,0,5,2024-01-01 06:30:00
3_2,3,2024-01-01 06:30:00,5,0,6,2024-01-01 06:36:00
3_2,3,2024-01-01 06:36:00,6,0,0,0
4_2,4,2024-01-01 06:06:00,1,0,2,2024-01-01 06:12:00
4_2,4,2024-01-01 06:12:00,2,0,3,2024-01-01 06:18:00
4_2,4,2024-01-01 06:18:00,3,0,4,2024-01-01 06:24:00
4_2,4,2024-01-01 06:24:00,4,0,5,2024-01-01 06:30:00
4_2,4,2024-01-01 06:30:00,5,0,6,2024-01-01 06:36:00
4_2,4,2024-01-01 06:36:00,6,0,0,0
1_3,1,2024-01-01 06:12:00,1,0,2,2024-01-01 06:18:00
1_3,1,2024-01-01 06:18:00,2,0,3,2024-01-01 06:24:00
1_3,1,2024-01-01 06:24:00,3,0,4,2024-01-01 06:30:00
1_3,1,2024-01-01 06:30:00,4,0,5,2024-01-01 06:36:00
1_3,1,2024-01-01 06:36:00,5,0,6,2024-01-01 06:42:00
1_3,1,2024-01-01 06:42:00,6,0,0,0
2_3,2,2024-01-01 06:12:00,1,0,2,2024-01-01 06:18:00
2_3,2,2024-01-01 06:18:00,2,0,3,2024-01-01 06:24:00
